Employee_id,Age,Gender,Department,Job_role,Education,Education_field,Marital_status,Attrition,Years_at_company,Business_travel,Daily_pay,Distance_from_home,Environment_satisfaction,Hourly_rate,Job_involvement,Job_level,Job_satisfaction,Monthly_income,Monthly_rate,Num_companies_worked,Over_time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Stock_Option_Level,Total_Working_Years,Training_Times_LastYear,WorkLife_Balance,Years_In_CurrentRole,Years_Since_LastPromotion,Years_With_CurrManager
1,41,Female,Sales,Sales Executive,2,Life Sciences,Single,Yes,6,Travel_Rarely,1102,1,2,94,3,2,4,5993,19479,8,Yes,11,3,1,80,0,8,0,1,4,0,5
2,49,Male,Research & Development,Research Scientist,1,Life Sciences,Married,No,10,Travel_Frequently,279,8,3,61,2,2,2,5130,24907,1,No,23,4,4,80,1,10,3,3,7,1,7
4,37,Male,Research & Development,Laboratory Technician,2,Other,Single,Yes,0,Travel_Rarely,1373,2,4,92,2,1,3,2090,2396,6,Yes,15,3,2,80,0,7,3,3,0,0,0
5,33,Female,Research & Development,Research Scientist,4,Life Sciences,Married,No,8,Travel_Frequently,1392,3,4,56,3,1,3,2909,23159,1,Yes,11,3,3,80,0,8,3,3,7,3,0
7,27,Male,Research & Development,Laboratory Technician,1,Medical,Married,No,2,Travel_Rarely,591,2,1,40,3,1,2,3468,16632,9,No,12,3,4,80,1,6,3,3,2,2,2
8,32,Male,Research & Development,Laboratory Technician,2,Life Sciences,Single,No,7,Travel_Frequently,1005,2,4,79,3,1,4,3068,11864,0,No,13,3,3,80,0,8,2,2,7,3,6
10,59,Female,Research & Development,Laboratory Technician,3,Medical,Married,No,1,Travel_Rarely,1324,3,3,81,4,1,1,2670,9964,4,Yes,20,4,1,80,3,12,3,2,0,0,0
11,30,Male,Research & Development,Laboratory Technician,1,Life Sciences,Divorced,No,1,Travel_Rarely,1358,24,4,67,3,1,3,2693,13335,1,No,22,4,2,80,1,1,2,3,0,0,0
12,38,Male,Research & Development,Manufacturing Director,3,Life Sciences,Single,No,9,Travel_Frequently,216,23,4,44,2,3,3,9526,8787,0,No,21,4,2,80,0,10,2,3,7,1,8
13,36,Male,Research & Development,Healthcare Representative,3,Medical,Married,No,7,Travel_Rarely,1299,27,3,94,3,2,3,5237,16577,6,No,13,3,2,80,2,17,3,2,7,7,7
14,35,Male,Research & Development,Laboratory Technician,3,Medical,Married,No,5,Travel_Rarely,809,16,1,84,4,1,2,2426,16479,0,No,13,3,3,80,1,6,5,3,4,0,3
15,29,Female,Research & Development,Laboratory Technician,2,Life Sciences,Single,No,9,Travel_Rarely,153,15,4,49,2,2,3,4193,12682,0,Yes,12,3,4,80,0,10,3,3,5,0,8
16,31,Male,Research & Development,Research Scientist,1,Life Sciences,Divorced,No,5,Travel_Rarely,670,26,1,31,3,1,3,2911,15170,1,No,17,3,4,80,1,5,1,2,2,4,3
18,34,Male,Research & Development,Laboratory Technician,2,Medical,Divorced,No,2,Travel_Rarely,1346,19,2,93,3,1,4,2661,8758,0,No,11,3,3,80,1,3,2,3,2,1,2
19,28,Male,Research & Development,Laboratory Technician,3,Life Sciences,Single,Yes,4,Travel_Rarely,103,24,3,50,2,1,3,2028,12947,5,Yes,14,3,2,80,0,6,4,3,2,0,3
20,29,Female,Research & Development,Manufacturing Director,4,Life Sciences,Divorced,No,10,Travel_Rarely,1389,21,2,51,4,3,1,9980,10195,1,No,11,3,3,80,1,10,1,3,9,8,8
21,32,Male,Research & Development,Research Scientist,2,Life Sciences,Divorced,No,6,Travel_Rarely,334,5,1,80,4,1,2,3298,15053,0,Yes,12,3,4,80,2,7,5,2,2,0,5
22,22,Male,Research & Development,Laboratory Technician,2,Medical,Divorced,No,1,Non-Travel,1123,16,4,96,4,1,4,2935,7324,1,Yes,13,3,2,80,2,1,2,2,0,0,0
23,53,Female,Sales,Manager,4,Life Sciences,Married,No,25,Travel_Rarely,1219,2,1,78,2,4,4,15427,22021,2,No,16,3,3,80,0,31,3,3,8,3,7
24,38,Male,Research & Development,Research Scientist,3,Life Sciences,Single,No,3,Travel_Rarely,371,2,4,45,3,1,4,3944,4306,5,Yes,11,3,3,80,0,6,3,3,2,1,2
26,24,Female,Research & Development,Manufacturing Director,2,Other,Divorced,No,4,Non-Travel,673,11,1,96,4,2,3,4011,8232,0,No,18,3,4,80,1,5,5,2,2,1,3
